# CMIP6 definitive model list — source: WCRP-CMIP/CMIP6_CVs CMIP6_source_id.json (accessed 2026-06-22)
# Filter: activity_participation includes both CMIP (ran historical) AND ScenarioMIP (ran scenarios from historical branch)
# Excluded: radiation-transfer-only codes, ocean-only models, atmosphere-only HighResMIP entries, CMIP5-compat entries
# institution_id: from CMIP6_institution_id.json; multi-institution models use "+" separator
# Total: 64 models from 31 primary institutions
source_id,institution_id,label_extended,release_year,activity_participation,status
ACCESS-CM2,CSIRO-ARCCSS,Australian Community Climate and Earth System Simulator Climate Model Version 2,2019,CMIP DAMIP FAFMIP OMIP RFMIP SIMIP ScenarioMIP,to_research
ACCESS-ESM1-5,CSIRO,Australian Community Climate and Earth System Simulator Earth System Model Version 1.5,2019,C4MIP CDRMIP CMIP DAMIP LUMIP OMIP PMIP RFMIP ScenarioMIP,to_research
AWI-CM-1-1-LR,AWI,AWI-CM 1.1 LR,2018,CMIP CORDEX HighResMIP OMIP SIMIP ScenarioMIP VIACSAB,to_research
AWI-CM-1-1-MR,AWI,AWI-CM 1.1 MR,2018,CMIP CORDEX OMIP PAMIP SIMIP ScenarioMIP VIACSAB,to_research
AWI-ESM-1-REcoM,AWI,AWI-ESM 1 REcoM,2024,C4MIP CDRMIP CMIP ScenarioMIP,to_research
BCC-CSM2-MR,BCC,BCC-CSM 2 MR,2017,C4MIP CFMIP CMIP DAMIP DCPP GMMIP LS3MIP LUMIP RFMIP ScenarioMIP,to_research
CAMS-CSM1-0,CAMS,CAMS-CSM 1.0,2016,CFMIP CMIP GMMIP HighResMIP ScenarioMIP,to_research
CAS-ESM2-0,CAS,CAS-ESM 2.0 (Chinese Academy of Sciences Earth System Model version 2.0),2019,AerChemMIP C4MIP CDRMIP CFMIP CMIP CORDEX DAMIP DynVarMIP FAFMIP GMMIP GeoMIP HighResMIP LS3MIP LUMIP OMIP PMIP SIMIP ScenarioMIP VIACSAB VolMIP,to_research
CESM2,NCAR,CESM2,2018,AerChemMIP C4MIP CDRMIP CFMIP CMIP CORDEX DAMIP DCPP DynVarMIP FAFMIP GMMIP GeoMIP HighResMIP ISMIP6 LS3MIP LUMIP OMIP PAMIP PMIP RFMIP RFMIP SIMIP ScenarioMIP VIACSAB VolMIP,to_research
CESM2-FV2,NCAR,CESM2-FV2,2019,CMIP PMIP ScenarioMIP,to_research
CESM2-WACCM,NCAR,CESM2-WACCM,2018,AerChemMIP CMIP GeoMIP RFMIP ScenarioMIP,to_research
